detection_timestamp,confidence,event
2020-12-30 01:29:35.620000+00:00,0.693153024,Enter
2020-12-30 01:29:53.374000+00:00,0.727072895,Exit
2020-12-30 01:29:57.464000+00:00,0.550392032,Exit
2020-12-30 01:29:57.464000+00:00,0.600406706,Exit
2020-12-30 01:29:57.596000+00:00,0.706994116,Enter
2020-12-30 01:29:58.455000+00:00,0.706994116,Exit
2020-12-30 01:31:24.388000+00:00,0.732906461,Enter
2020-12-30 01:33:58.891000+00:00,0.556750596,Exit
2020-12-30 01:34:57.271000+00:00,0.744393051,Exit
2020-12-30 01:34:58.790000+00:00,0.723854005,Enter
2020-12-30 01:47:41.553000+00:00,0.753115356,Exit
2020-12-30 01:47:44.520000+00:00,0.69135952,Enter
2020-12-30 01:48:48.175000+00:00,0.704302609,Exit
2020-12-30 01:48:57.647000+00:00,0.734026194,Exit
2020-12-30 01:48:57.782000+00:00,0.748388648,Enter
2020-12-30 01:48:59.760000+00:00,0.717372596,Exit
2020-12-30 01:49:06.031000+00:00,0.745835841,Enter
2020-12-30 01:49:31.835000+00:00,0.787085354,Exit
2020-12-30 01:49:47.015000+00:00,0.741313219,Exit
2020-12-30 01:50:03.848000+00:00,0.724125087,Enter
2020-12-30 01:50:05.497000+00:00,0.753651738,Enter
2020-12-30 01:50:23.250000+00:00,0.776876569,Exit
2020-12-30 01:50:33.218000+00:00,0.726441085,Exit
2020-12-30 01:50:34.800000+00:00,0.729016244,Enter
2020-12-30 01:50:42.324000+00:00,0.733719826,Enter
2020-12-30 01:50:56.846000+00:00,0.745907545,Exit
2020-12-30 01:51:03.445000+00:00,0.695119441,Enter
2020-12-30 01:51:17.039000+00:00,0.744873643,Exit
2020-12-30 01:51:24.236000+00:00,0.629855454,Enter
2020-12-30 01:51:28.788000+00:00,0.778278768,Exit
2020-12-30 01:51:34.136000+00:00,0.695285439,Enter
2020-12-30 01:51:56.969000+00:00,0.696603537,Exit
2020-12-30 01:52:09.314000+00:00,0.752752602,Exit
2020-12-30 01:52:11.687000+00:00,0.678173304,Enter
2020-12-30 01:53:46.099000+00:00,0.718640327,Enter
2020-12-30 01:54:05.673000+00:00,0.808570623,Exit
2020-12-30 01:54:15.107000+00:00,0.750433922,Enter
2020-12-30 01:56:17.636000+00:00,0.723164797,Exit
2020-12-30 01:56:23.247000+00:00,0.650216877,Exit
2020-12-30 01:56:23.576000+00:00,0.648460984,Enter
2020-12-30 01:56:41.265000+00:00,0.746490061,Enter
2020-12-30 02:16:37.252000+00:00,0.73643899,Exit
2020-12-30 02:16:37.318000+00:00,0.712483823,Enter
2020-12-30 02:16:38.308000+00:00,0.707105041,Exit
2020-12-30 02:18:24.932000+00:00,0.670796931,Exit
2020-12-30 02:18:26.447000+00:00,0.663802326,Enter
2020-12-30 02:18:26.516000+00:00,0.663802326,Exit
2020-12-30 02:18:26.582000+00:00,0.663802326,Enter
2020-12-30 02:18:36.645000+00:00,0.639165878,Enter
2020-12-30 02:24:46.873000+00:00,0.604290724,Exit
2020-12-30 02:24:47.069000+00:00,0.709996283,Enter
2020-12-30 02:27:08.178000+00:00,0.639753997,Exit
2020-12-30 02:27:08.639000+00:00,0.684522867,Enter
2020-12-30 02:27:56.392000+00:00,0.727875829,Exit
2020-12-30 02:27:56.457000+00:00,0.660434484,Enter
2020-12-30 02:27:57.052000+00:00,0.660434484,Exit
2020-12-30 02:27:59.428000+00:00,0.65541935,Exit
2020-12-30 13:21:02.635000+00:00,0.68435514,Enter
2020-12-30 13:21:13+00:00,0.675207198,Enter
2020-12-30 13:21:14.516000+00:00,0.705058515,Enter
2020-12-30 13:21:15.507000+00:00,0.692352235,Enter
2020-12-30 13:21:17.025000+00:00,0.69588244,Exit
2020-12-30 13:21:30.291000+00:00,0.578151643,Enter
2020-12-30 13:21:33.326000+00:00,0.656976104,Enter
2020-12-30 13:25:29.542000+00:00,0.729476094,Enter
2020-12-30 13:25:47.227000+00:00,0.57848388,Exit
2020-12-30 13:25:47.755000+00:00,0.712258339,Enter
2020-12-30 13:25:50.725000+00:00,0.738426566,Exit
2020-12-30 13:25:58.053000+00:00,0.604875445,Enter
2020-12-30 13:26:21.417000+00:00,0.726351917,Exit
2020-12-30 13:26:32.241000+00:00,0.68527323,Enter
2020-12-30 13:26:52.042000+00:00,0.750341535,Exit
2020-12-30 13:26:52.107000+00:00,0.732423902,Enter
2020-12-30 13:26:53.096000+00:00,0.765323639,Exit
